FRAME   ID  X   Y
1 0 98 98
1 1 96 81
2 0 98 98
2 1 95 82
3 0 98 98
3 1 95 81
4 0 98 98
4 1 94 82
5 0 98 98
5 1 93 81
6 0 98 98
6 1 93 82
7 0 98 98
7 1 92 82
8 0 98 98
8 1 90 82
9 0 98 98
9 1 89 82
10 0 98 98
10 1 90 82
11 0 98 98
11 1 89 82
12 0 98 98
12 1 90 82
13 0 98 98
13 1 89 82
14 0 98 98
14 1 91 82
15 0 98 98
15 1 91 82
16 0 98 98
16 1 91 82
17 0 98 98
17 1 91 82
18 0 98 98
18 1 91 82
19 0 98 98
19 1 91 82
20 0 98 98
20 1 91 82
21 0 98 98
21 1 91 82
22 0 98 98
22 1 91 82
23 0 98 98
23 1 91 82
24 0 98 98
24 1 91 82
25 0 98 98
25 1 91 82
26 0 98 98
26 1 92 82
27 0 98 98
27 1 91 82
28 0 98 98
28 1 91 82
29 0 98 98
29 1 91 83
30 0 98 98
30 1 91 84
31 0 98 98
31 1 91 84
32 0 98 98
32 1 91 84
33 0 98 98
33 1 91 84
34 0 98 98
34 1 92 84
35 0 98 98
35 1 92 84
36 0 98 98
36 1 92 84
37 0 98 98
37 1 92 83
38 0 98 98
38 1 92 84
39 0 98 98
39 1 92 84
40 0 98 98
40 1 93 84
41 0 98 99
41 1 93 84
42 0 98 100
42 1 93 84
43 0 98 100
43 1 94 84
44 0 98 101
44 1 93 84
45 0 98 104
45 1 94 84
46 0 98 105
46 1 94 85
47 0 98 107
47 1 94 86
48 0 98 107
48 1 94 85
49 0 98 108
49 1 94 86
50 0 98 108
50 1 94 85
51 0 98 108
51 1 95 86
52 0 98 108
52 1 97 87
53 0 98 108
53 1 98 89
54 0 98 108
54 1 97 89
55 0 98 108
55 1 99 90
56 0 99 109
56 1 99 90
57 0 100 110
57 1 99 90
58 0 100 110
58 1 100 91
59 0 100 110
59 1 99 93
60 0 100 110
60 1 100 93
61 0 101 110
61 1 100 94
62 0 102 110
62 1 100 93
63 0 102 110
63 1 100 94
64 0 103 110
64 1 100 94
65 0 104 110
65 1 100 95
66 0 104 110
66 1 100 95
67 0 105 110
67 1 99 96
68 0 106 110
68 1 100 96
69 0 106 110
69 1 99 97
70 0 107 110
70 1 99 98
71 0 108 110
71 1 99 98
72 0 108 110
72 1 99 98
73 0 109 110
73 1 98 99
74 0 110 110
74 1 97 100
75 0 111 110
75 1 98 101
76 0 113 111
76 1 97 102
77 0 114 112
77 1 98 102
78 0 114 111
78 1 97 102
79 0 114 112
79 1 98 102
80 0 115 111
80 1 97 103
81 0 116 112
81 1 98 105
82 0 115 111
82 1 98 106
83 0 116 112
83 1 98 105
84 0 116 111
84 1 98 106
85 0 115 112
85 1 98 105
86 0 116 111
86 1 98 106
87 0 116 112
87 1 98 105
88 0 116 111
88 1 98 105
89 0 116 112
89 1 98 105
90 0 116 111
90 1 98 105
91 0 116 112
91 1 98 105
92 0 116 111
92 1 98 105
93 0 116 112
93 1 99 106
94 0 116 111
94 1 100 105
95 0 116 112
95 1 99 106
96 0 116 112
96 1 100 105
97 0 117 112
97 1 99 106
98 0 119 112
98 1 100 106
99 0 120 112
99 1 101 106
100 0 121 112
100 1 103 106
101 0 122 112
101 1 104 107
102 0 121 112
102 1 103 107
103 0 122 112
103 1 105 108
104 0 122 112
104 1 106 108
105 0 123 112
105 1 107 108
106 0 125 112
106 1 109 109
107 0 126 112
107 1 109 109
108 0 125 112
108 1 109 109
109 0 126 112
109 1 109 110
110 0 125 112
110 1 110 109
111 0 126 112
111 1 109 110
112 0 126 112
112 1 110 110
113 0 127 112
113 1 109 110
114 0 128 112
114 1 110 110
115 0 128 113
115 1 110 110
116 0 128 114
