FRAME   ID  X   Y
1 0 98 98
1 1 96 81
2 0 98 98
2 1 95 81
3 0 98 98
3 1 94 82
4 0 98 98
4 1 93 82
5 0 98 98
5 1 93 82
6 0 98 98
6 1 92 82
7 0 98 98
7 1 91 83
8 0 98 98
8 1 90 83
9 0 98 98
9 1 89 83
10 0 98 98
10 1 89 83
11 0 98 98
11 1 89 83
12 0 98 98
12 1 89 83
13 0 98 98
13 1 89 83
14 0 98 98
14 1 90 83
15 0 98 98
15 1 90 83
16 0 98 98
16 1 90 83
17 0 98 98
17 1 90 83
18 0 98 98
18 1 90 83
19 0 98 98
19 1 90 83
20 0 98 98
20 1 90 83
21 0 98 98
21 1 90 83
22 0 98 98
22 1 90 83
23 0 98 98
23 1 90 83
24 0 98 98
24 1 90 83
25 0 98 98
25 1 90 83
26 0 98 98
26 1 91 83
27 0 98 98
27 1 91 83
28 0 98 98
28 1 91 84
29 0 98 98
29 1 91 84
30 0 98 98
30 1 91 84
31 0 98 98
31 1 91 85
32 0 98 98
32 1 91 85
33 0 98 98
33 1 91 85
34 0 98 98
34 1 92 85
35 0 98 98
35 1 92 84
36 0 98 98
36 1 92 84
37 0 98 98
37 1 92 83
38 0 98 98
38 1 92 83
39 0 98 98
39 1 92 83
40 0 98 98
40 1 92 83
41 0 98 99
41 1 92 83
42 0 98 99
42 1 92 83
43 0 98 100
43 1 92 83
44 0 98 101
44 1 93 84
45 0 98 103
45 1 93 84
46 0 98 105
46 1 94 85
47 0 98 106
47 1 94 85
48 0 98 106
48 1 94 85
49 0 98 107
49 1 94 85
50 0 98 108
50 1 94 85
51 0 98 108
51 1 95 85
52 0 98 108
52 1 96 86
53 0 98 108
53 1 97 88
54 0 98 108
54 1 97 88
55 0 98 108
55 1 98 89
56 0 99 109
56 1 99 90
57 0 99 109
57 1 99 90
58 0 99 109
58 1 99 90
59 0 99 109
59 1 100 92
60 0 99 109
60 1 100 92
61 0 100 109
61 1 100 92
62 0 100 109
62 1 101 93
63 0 101 109
63 1 101 93
64 0 101 109
64 1 101 93
65 0 102 109
65 1 101 94
66 0 102 109
66 1 101 94
67 0 103 109
67 1 100 95
68 0 103 109
68 1 100 96
69 0 104 109
69 1 100 96
70 0 105 109
70 1 99 97
71 0 105 109
71 1 99 98
72 0 105 109
72 1 99 98
73 0 106 109
73 1 98 99
74 0 107 109
74 1 98 99
75 0 108 109
75 1 98 100
76 0 108 109
76 1 98 101
77 0 108 109
77 1 98 102
78 0 108 109
78 1 98 102
79 0 108 109
79 1 98 102
80 0 108 109
80 1 98 103
81 0 109 109
81 1 98 104
82 0 109 109
82 1 98 104
83 0 109 109
83 1 98 105
84 0 109 109
84 1 98 105
85 0 109 109
85 1 98 105
86 0 109 109
86 1 98 105
87 0 109 109
87 1 98 104
88 0 109 109
88 1 98 104
89 0 109 109
89 1 98 104
90 0 109 109
90 1 98 104
91 0 109 109
91 1 98 104
92 0 109 109
92 1 98 104
93 0 109 109
93 1 99 105
94 0 109 109
94 1 99 105
95 0 110 109
95 1 99 105
96 0 110 109
96 1 99 105
97 0 111 109
97 1 99 105
98 0 112 109
98 1 100 106
99 0 113 110
99 1 101 107
100 0 114 110
100 1 102 107
101 0 115 110
101 1 103 107
102 0 115 110
102 1 103 107
103 0 115 110
103 1 105 108
104 0 116 110
104 1 106 108
105 0 116 110
105 1 107 109
106 0 117 110
106 1 108 109
107 0 118 110
107 1 109 109
108 0 118 110
108 1 109 109
109 0 118 110
109 1 109 109
110 0 118 111
110 1 109 110
111 0 118 111
111 1 109 110
112 0 119 111
112 1 109 110
113 0 120 111
113 1 109 110
114 0 120 111
114 1 109 110
115 0 121 111
115 1 110 110
116 0 122 111
116 1 110 110
117 0 124 111
117 1 110 110
118 0 125 111
118 1 111 111
119 0 126 112
119 1 112 111
120 0 126 112
120 1 112 111
121 0 128 112
121 1 113 111
122 0 129 113
122 1 115 111
123 0 129 113
123 1 117 111
124 0 130 113
124 1 119 111
125 0 130 114
125 1 121 111
126 0 130 114
126 1 121 111
127 0 131 114
127 1 122 111
128 0 131 114
128 1 122 111
129 0 132 114
129 1 122 111
130 0 133 114
130 1 122 111
131 0 135 114
131 1 123 111
132 0 135 114
132 1 123 111
133 0 136 114
133 1 124 111
134 0 138 114
134 1 125 112
135 0 140 114
135 1 127 112
136 0 141 114
136 1 128 112
137 0 142 114
137 1 129 113
138 0 142 114
138 1 129 113
139 0 143 114
139 1 130 114
140 0 144 114
140 1 132 115
141 0 144 114
141 1 133 116
142 0 146 114
142 1 133 116
143 0 146 114
143 1 133 116
144 0 146 114
144 1 133 116
145 0 147 114
145 1 133 117
146 0 147 114
146 1 133 117
147 0 147 113
147 1 133 118
148 0 147 113
148 1 134 118
149 0 147 113
149 1 134 119
150 0 147 113
150 1 134 119
151 0 147 113
151 1 134 119
